name,drinkware,notes,ingredients,type,prep,flaming,served,garnish,wiki_page
Herbsaint Frappé,highball,,*One part Herbsaint *One part soda water *Half teaspoon simple syrup or sugar,cocktail,"Stir together with plenty of ice, then strain into a very well chilled glass. Serve very cold.",,stirred,frosted glass,Herbsaint
French 75,champagne tulip,,*1 oz gin *1/2 oz. simple syrup (or 2 tsp. superfine sugar) *1/2 oz. lemon juice *Brut Champagne or other dry sparkling wine,cocktail,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into an iced champagne glass. Fill with Champagne. Garnish with a twist of lemon.",,,,French 75 (cocktail)
Moscow Mule,copper cup,The proportion of ginger beer varies from 2 parts to 4 parts,*Two parts vodka *One part lime juice * 3 parts ginger beer,cocktail,Mix ingredients together and serve,,on the rocks,,Moscow mule
Horse's Neck,old,,* 40ml (1 part) Brandy * 110ml (~3 parts) Ginger ale * Dash of Angostura bitter (optional),mixed,"Pour brandy and ginger ale directly into old fashioned glass with ice cubes. Stir gently. Garnish with lemon zest. If required, add dashes of Angostura Bitter.",,on the rocks,Long spiral of lemon zest,Horse's Neck
Sazerac,old,"Originally, the Sazerac was made and served in an egg cup called a ""''coquetier''""—a word speculated by some linguists to be the origin of the word ""cocktail"", though this myth has now been debunked. See below.",*2 ounces Rye whiskey *Three dashes Peychaud's Bitters *One sugar cube or 1 tsp simple syrup *Splash of absinthe or Herbsaint,cocktail,"One old fashioned or rocks glass is packed with ice and water to chill the glass. In a second old fashioned glass, muddle the sugar cube or simple syrup with the bitters. Add the rye to this mixture. Stir to combine. Empty the ice from the first glass. Pour the absinthe or Herbsaint into the glass and swirl to coat the sides of the glass. Any excess absinthe or Herbsaint is discarded. Pour the rye/sugar/bitters mixture into the coated glass. Twist a lemon peel over the glass and rub the rim of the glass with the peel. The peel can be discarded or placed into the cocktail.",,straight up,Lemon peel,Sazerac
Sidecar,cocktail,,*Four parts brandy or cognac *Two parts Cointreau *One part lemon juice,cocktail,Mix the ingredients in a shaker half-full of ice. Strain and serve in a sugar-rimmed glass. Garnish with a strip of lemon rind,,straight up,"Sugared glass, lemon rind",Sidecar (cocktail)
Brandy Alexander,cocktail,,*30ml (1 part) Cognac *30ml (1 part) Crème de cacao (brown) *30ml (1 part) Fresh cream,cocktail,Shake and strain into a chilled cocktail glass. Sprinkle with fresh ground nutmeg.,,straight,Grated nutmeg,Brandy Alexander
Martini,cocktail,,*55ml (11 parts) gin *15ml (3 parts) dry vermouth,cocktail,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive. (On the rocks: Pour all ingredients over ice cubes in old-fashioned glass, garnish as above and serve.)",no,straight (or on the rocks),Olive or lemon twist,Martini (cocktail)
Caipirinha,old,"A wide variety of fresh fruits can be used in place of lime. In the absence of cachaça, vodka can be used, making a caipiroska.","* 50 ml (1⅔ fl oz) cachaça * ½ Lime cut into 4 wedges (or tahiti lime, but '''not''' green lemon) * 2 teaspoons crystal or refined sugar",cocktail,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with crushed ice and add the Cachaça.,,on the rocks,"sugar cane, lime(ingredient)",Caipirinha
Daiquirí,cocktail,,*45ml (9 parts) White rum *20ml (4 parts) lime juice *5ml (1 part) Simple syrup,cocktail,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,,straight,Half a lime slice,Daiquiri
Singapore Sling,hurricane,,* 40ml (8 parts) Gin * 20ml (4 parts) Heering Cherry Liqueur (cherry brandy) * 5ml (1 part) Cointreau * 5ml (1 part) DOM Bénédictine * 10ml (2 parts) Grenadine * 80ml (16 parts) Pineapple juice * 30ml (6 parts) Fresh lemon juice * 1 dash Angostura bitters,,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into hurricane glass. Garnish with pineapple and maraschino cherry.,,straight,"Maraschino cherry, pineapple",Singapore Sling
Pink Gin,cocktail,The traditional garnish is a shave of lemon rind. You can obtain this by removing about an inch strip of lemon rind with a potato peeler.,*One part Plymouth gin *Dash of Angostura Bitters,cocktail,"Chill the glass, then coat the inside with the Bitters. Add the gin very well chilled, garnish and serve.",,straight,lemon,Pink Gin
Irish Coffee,coffee,,*40ml (2 parts) Irish whiskey *80ml (4 parts) hot coffee *30ml (1½ parts) fresh cream *1tsp brown sugar,Cocktail,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",,hot,,Irish coffee
Cosmopolitan,cocktail,The drink should be a frothy bright pink colour,* 40 ml Vodka Citron * 15 ml Cointreau * 15 ml Fresh lime juice * 30 ml Cranberry juice,cocktail,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,,straight,"Lemon slice, lime wedge",Cosmopolitan (cocktail)
Punch,Often served in a punch bowl with punch glasses.,,"Usually fruit juices and other drink mixers, optionally with alcohol.",Mid drink,Varies widely. Many prepared mixes are available.,,,,Punch (drink)
Mint Julep,"tall glass, or julep cup",,"* {{convert~3~USfloz}} Bourbon whiskey * 4 to 6 sprigs mint leaves * granulated sugar, to taste",mixed,"Put mint, sugar, and a small amount of bourbon into the bottom of a mixing glass. Gently muddle the mint and sugar, then let stand for a bit to allow the muddled leaves to release their flavor. Strain and pour into a julep cup (or similar vessel), rotating to coat the sides. Fill with ice, then add the rest of the bourbon whiskey. Garnish with a lightly slapped small mint sprig.",,over crushed or shaved ice,mint leaves,Mint julep
Salmiakki Koskenkorva,,,,cocktail,Premixed cocktail,,neat,,Salmiakki Koskenkorva
Negroni (cocktail),old,,*30ml (1 part) gin *30ml (1 part) sweet red vermouth *30ml (1 part) campari,cocktail,"Stir into glass over ice, garnish and serve.",,on the rocks,orange peel,Negroni
Tequila Slammer,on the rocks,"If champagne is used instead of lemonade, the drink is known as a '''slammer Royale'''","*One part tequila *One part 7 Up, ginger ale or Mountain Dew",shooter,Mix carefully to avoid releasing the dissolved CO 2 .,,straight,,Tequila Slammer
Karsk (A.K.A Hot Caustic),cup,,*6cl (3 parts) Pure alcohol *6cl (3 parts) Hot coffee,cocktail,Heat the coffee; do not boil. Pour into cup and add the alcohol; serve hot.,,hot,,Karsk
Caesar,highball,,*6 oz. Clamato Juice *1–1½ oz. Vodka *2 Dashes hot sauce *4 Dashes Worcestershire sauce *Celery salt *Freshly ground pepper *Lime wedge *1 Crisp celery stalk,cocktail,"Rim glass with celery salt, and a Lime wedge.",,on the rocks,stalk of celery and wedge of lime,Caesar (cocktail)
Golden Cadillac,cocktail,,*20ml (1 part) Galliano *20ml (1 part) Crème de cacao (white) *20ml (1 part) Cream,cocktail,Shake together over ice. Strain into cocktail glass and serve chilled.,,straight,,Golden Cadillac
Snakebite,pint,,* One part beer * One part cider,,Mix in equal volumes in a standard pint glass.,,Without ice,,Snakebite (shandy)
The Vod-Bomb,highball,,*6 oz. vodka *1 can Red Bull (AML),cocktail,"Either mix, with or without ice, or drop a shot of vodka into the Red Bull in the style of Depth charge",,"on the rocks, or straight up",,Vodka Red Bull
Tom and Jerry,mug,Served hot in a mug or bowl,"eggs or egg whites, sugar, brandy or rum",cocktail,Mix egg and milk with rum,no,straight,,Tom and Jerry (mixed drink)
Sake Bomb,pintshot,,* 1 pint (~14 parts) beer * 1 shot (1 part) Sake,beer,"The shot of sake is dropped into the beer, causing it to fizz violently. The drink should then be consumed immediately.",,straight,,Sake bomb
Kalimotxo,highball,,* One part red wine * One part cola or another carbonated soft drink,,Stir together over plenty of ice.,,on the rocks,,Kalimotxo
Kir,winew,A recipe can be found at the International Bartenders Association website.,*90ml (3 ounces) (9 parts) white wine *10ml (0.33 ounce) (1 part) crème de cassis,wine,"*Add the crème de cassis to the bottom of the glass, then top up with wine.",,,,Kir (cocktail)
Flaming Doctor Pepper,pubshot,,*1 pint (~13 parts) beer *3 parts Amaretto *1 part high-proof liquor,,"Layer the two spirits in the shot glass, with the high-proof liquor on top. Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.",yes,,,Flaming Doctor Pepper
Stinger,cocktail,,*3 parts brandy *1 part white crème de menthe,cocktail,Mix in a cocktail shaker and strain into a cocktail glass. May also be served on rocks in a rocks glass.,,straight,,Stinger (cocktail)
Pisco Sour,old,,* 2 fl oz (8 parts) Pisco * 1 fl oz (4 parts) Key lime or lemon juice * 3/4 fl oz (3 part) Simple syrup * 1 Egg white{{ref label~Peruvian-note~a~}},cocktail,"Shake hard or blend with ice and strain into glass. The bitters are an aromatic garnish topping the finished drink, put on top of Pisco Sour foam.",,straight,Angostura bitters (1 dash){{ref label~Peruvian-note~a~}},Pisco Sour
Zurracapote,goblet,,"* red wine * fruit (peaches, lemons) * sugar * cinnamon",wine,,,,,Zurracapote
Sours,,See the article for specifics.,,family,,,,,Sour (cocktail)
Appletini (aka Apple Martini),cocktail,,*40ml (3 parts) Vodka *15ml (1 part) Apple schnapps / Calvados *15ml (1 part) Cointreau,Cocktail,"Mix in a shaker, then pour into a chilled glass. Garnish and serve.",,straight up,Apple slice; Cherry,Appletini
Buck's Fizz,flute,,* 100ml (2 parts) orange juice * 50ml (1 part) champagne,wine,"* Pour the orange juice into glass and top up champagne. Stir gently, garnish and serve.",,straight,orange twist,Buck's Fizz (cocktail)
Bumboo,old,,*2 ounces rum *1 ounce water *2 sugar cubes *Sprinkle 1/4 teaspoon to taste cinnamon *Sprinkle 1/4 teaspoon to taste nutmeg,cocktail,Mix and garnish.,,straight,Nutmeg,Bumbo
Vodka tonic,highball,,"*One part vodka *One to three parts tonic water, to taste",cocktail,"Mix and serve-stirred, not shaken.",,on the rocks,"citrus fruit, usually lime or lemon",Vodka tonic
Morir Soñando,,,* 2 cups orange juice * 1/2 cup of sugar * 4 cups of evaporated milk * 2½ cup of crushed ice,virgin,"Mix sugar and milk and stir until all the sugar has dissolved. Refrigerate until very cold. Add the ice to the milk and stir. Slowly pour the orange juice in the milk, stirring constantly. Serve immediately.",adam.,shaken,None,Morir soñando
Tamagozake,,"An alternative preparation method is to heat the sake/egg/honey mixture together, while whisking occasionally.  Be careful to stop cooking before it turns into scrambled eggs.",*One raw egg (or egg yolk only) *3/4 cup (200 cc) sake *Honey or sugar to taste,cocktail,Whisk the raw egg yolk and honey/sugar into 3/4 cup hot sake (hot enough to lightly cook the egg - 1:30 in the microwave).,,hot,,Tamagozake
Brass Monkey,highball,,*One part dark rum *One part vodka *One part orange juice,cocktail,Stir together and serve over ice.,,on the rocks,,Brass Monkey (cocktail)
Coquito,shot,,"*28 oz Coconut milk *2 cups Rum *14 ounces Condensed milk *vanilla, to taste",shaken,"Place ingredients into blender, blend until well mixed. Pour into a bottle and refrigerate until cold. Serve in small glasses and sprinkle top lightly with nutmeg.",,strained,"cinnamon, nutmeg",Coquito
Tequila Sunrise,highball,,* 45ml (3 parts) Tequila * 90ml (6 parts) Orange juice * 15ml (1 part) Grenadine syrup,layered,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Do not stir. Garnish and serve.",,on the rocks,orange slice and cherry,Tequila Sunrise (cocktail)
Gimlet,cocktail,,* Four parts gin * One part sweetened lime juice,cocktail,Mix and serve. Garnish with a slice of lime,,straight or on the rocks,Lime,Gimlet (cocktail)
Hurricane,hurricane,,*One part dark rum *One part white rum *Half part over proofed rum *passion fruit syrup *lime juice,cocktail,"Shake ingredients with ice, then pour into the glass and serve over ice.",,"on the rocks, poured over ice",,Hurricane (cocktail)
Michelada,pint,,"Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.",,,,"in a chilled, salt-rimmed glass",Lime,Michelada
Alabama Slammer,collins,,*3/4 oz. Amaretto *3/4 oz. Southern Comfort *3/4 oz. Sloe Gin *fill with orange juice,cocktail,,,on the rocks,,Alabama Slammer
Baby Guinness,shot,Variation substitutes black Sambuca for coffee liqueur,"3/4 shot (3 parts) Coffee liqueur, 1/4 shot (1 part) Irish cream",shooter,Float Irish cream on top of coffee liqueur,,,,Baby Guinness
Tinto de verano,,,*One part red wine *One part gaseosa (or a mixture of Sprite and water or Fanta),wine,Mix and serve well chilled.,,on the rocks,lemon slice,Tinto de verano
Rickey,highball,,"*2oz bourbon, rye whiskey, or gin *Half of a lime squeezed and dropped in the glass *Sparkling Mineral Water",cocktail,"Combine spirit, lime and shell in a highball or wine glass. Add ice, stir and then add sparkling mineral water.",,on the rocks,lime half shell,The Rickey
Yorsh,,,*10 part beer * 1 part vodka (Ratio varies to taste),cocktail,Mix thoroughly and drink quickly!,,,,Yorsh
Carrot Cake,shot,,* one part Baileys Irish Cream * one part Hot Damn Cinnamon Schnapps * one part Frangelico,layered,,,,,Carrot Cake (cocktail)
Irish Car Bomb,pubshot,Original recipe: * 1/2 oz. Irish cream * 1/2 pint Irish stout * 1/4 oz. Irish whiskey * 1/4 oz. coffee liqueur,* 1/2 shot Irish whiskey * 1/2 shot Irish cream * 1/2 pint Irish stout,beer,"The whiskey is floated on top of the Irish cream in a shot glass, and the shot glass is then dropped into the stout.",,straight,,Irish Car Bomb
Bellini,flute,Traditionally a Bellini uses Prosecco for the wine and white peaches for the fruit.,* 100ml (2 parts) dry sparkling wine * 50ml (1 part) fresh peach purée,wine,"Pour peach puree into chilled flute, add gently sparkling wine. Stir gently.",,straight,,Bellini (cocktail)
Lynchburg Lemonade,collins,,"Jack Daniel's, triple sec, sour mix, lemon-lime",cocktail,Shake and Strain,,on the rocks,"Lemon wedge, maraschino cherry",Lynchburg Lemonade
Rusty Nail,"""old-fashioned"" glass, stemmed glass ""martini-style""",,*45ml (9 parts) Scotch Whisky *25ml (5 parts) Drambuie,cocktail,"First fill a 16 oz glass with crushed ice until it is overflowing. Pour in 5 parts drambuie and 9 parts scotch. Stir gently, as to not bruise the ice. Keep stirring until a thick frost develops on the side of the glass. Garnish with a lemon twist. Serve.",,on the rocks,Lemon twist,Rusty Nail (cocktail)
Grasshopper,cocktail,,*30 ml (1 part) Crème de menthe (green) *30 ml (1 part) Crème de cacao (white) *30 ml (1 part) Fresh cream,cocktail,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,,straight,,Grasshopper (cocktail)
Monkey Gland,cocktail,,* 1 part gin * 1 part orange juice * dash absinthe * dash grenadine,cocktail,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",,,,The Monkey Gland
Cerveza Preparada,* Pint glass,,* Tomato juice * Mexican beer,,,,without ice,,Cerveza preparada
Colombia,highball,,*2 parts vodka * 1 part blue Curaçao * 1 part grenadine * 1 part lemon juice * 6 parts orange juice,cocktail,"Shake the vodka and citrus juices in a mixer, then strain into the glass. Slide the grenadine down one side of the glass, where it will sink to the bottom. Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",,,,Colombia (cocktail)
The Blenheim,cocktail,,* 3 parts Brandy * 2 parts Yellow Chartreuse * 1 part Lillet * 1 part Orange Juice * 1 part Dubonnet,cocktail,"Shake ingredients together with ice, and strain into a cocktail glass.",,straight,,Joe Gilmore
Bronx,cocktail,,* 30ml (6 parts) Gin * 15ml (3 parts) Sweet Red Vermouth * 10ml (2 parts) Dry Vermouth * 15ml (3 parts) Orange juice,cocktail,"Pour into cocktail shaker all ingredients with ice cubes, shake well. Strain in chilled cocktail or martini glass.",,straight,orange twist,Bronx (cocktail)
Jack Rose,cocktail,,*2 parts applejack *1 part lemon or lime juice *1/2 part grenadine,cocktail,"Traditionally shaken into a chilled glass, garnished, and served straight up.",,straight,"cherry, apple slice",Jack Rose (cocktail)
London Fog,cocktail,,*7 parts gin * 2 parts pernod,cocktail,,,,,London Fog (cocktail)
El Presidente,cocktail,,*Two parts rum *One part curaçao *One part dry vermouth *Dash grenadine,cocktail,"stir well with ice, then strain into glass. Garnish and serve.",,straight,twist of orange peel,El Presidente (cocktail)
Salty dog,highball,,*40ml gin *100ml grapefruit juice,cocktail,Shake vodka and grapefruit juice in cocktail shaker. Strain into a salt-rimmed highball glass.,,straight,Salted glass,Salty dog (cocktail)
Backdraft,shot,"The cinnamon can be replaced with black pepper if desired, creating a much more bitter drink, known as the '''pepperdraft'''",* Grand Marnier * Drambuie * Cinnamon * Ice,cocktail,"The preparation of this drink is complex, and is explained below.",yes,straight,Cinnamon,Backdraft (drink)
Vesper,coupe,,*Three measures 90-proof gin * One measure 100-proof Polish vodka * One-half measure Kina Lillet or Cocchi Americano,cocktail,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",,straight,lemon peel,Vesper (cocktail)
Americano,old,,*30ml Campari *30ml red vermouth *A splash of soda water,old,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",,on the rocks,half an orange slice,Americano (cocktail)
Incredible Hulk,cocktail,,*One part hpnotiq * One part cognac,cocktail,Stir together and serve over ice.,,on the rocks,,Incredible Hulk (cocktail)
Four Horsemen,shot,,* 1 part Bourbon whiskey (Jim Beam) * 1 part Tennessee whiskey (Jack Daniel's) * 1 part Scotch whisky (Johnnie Walker Black) * 1 part Irish Whiskey (Jameson),shooter,"Mix the four spirits together into the shot glass, and down immediately.",,neat,,Four Horsemen (drink)
B-52,shot,,*20ml (1 part) coffee liqueur (Kahlúa) *20ml (1 part) Irish Cream (Baileys Irish Cream) *20ml (1 part) Orange Cognac (Grand Marnier),layered,Layer ingredients into a shot glass. Serve with a stirrer.,,neat,Stirrer,B-52 (cocktail)
The Godfather,old,,*35 ml (2 parts) scotch whisky *35 ml (2 parts) amaretto,Cocktail,pour into an old fashioned glass,,on the rocks,,Godfather (cocktail)
French Connection,old,,*3.5cl (1 part) Cognac *3.5cl (1 part) Disaronno liqueur,cocktail,Pour ingredients into a Snifter with ice cubes. Stir gently.,,,,French Connection (cocktail)
Kir Royal,flute,A recipe can be found at the International Bartenders Association website.,*90ml (3 ounces) (9 parts) champagne *10ml (0.33 ounce) (1 part) crème de cassis,wine,"*Add the crème de cassis to the bottom of the glass, then top up champagne.",,,,Kir Royal (cocktail)
Gibson,cocktail,,*60ml (2 ounces) (6 parts) gin *10ml (0.33 ounce) (1 part) dry vermouth,cocktail,"*Stir well in a shaker with ice, then strain into a chilled martini glass. Garnish and serve",,stirred,silverskin onion,Gibson (cocktail)
Whiskey sour,Old Fashioned glass or cobbler,Garnish with maraschino cherry and orange slice.,* 45ml (3 parts) Bourbon whiskey * 30ml (2 parts) fresh lemon juice * 15ml (1 part) Gomme syrup * dash egg white (optional),cocktail,"Shake with ice. Strain into ice-filled old-fashioned glass to serve ""on the rocks.""",,shaken,"sugared glass, lemon rind",Whiskey sour
Bombardino,coffee,,* 1 part Brandy * 1 part Advocaat (or eggnog),,,,,,Bombardino
Rev-Bomb,pubshot,,,Jägermeister,,,,,Rev (drink)
Nikolaschka,snifter,One should eat the lemon with the coffee and sugar mixture and then enjoy the drink.,"* Cognac * Coffee powder * Powdered sugar * Lemon disk, peeled",cocktail,"Pour cognac into brandy snifter, place lemon disk across the top of the glass and top with sugar and coffee.",,straight,,Nikolaschka
Bijou Cocktail,cocktail,,* 3 parts gin *1 part green Chartreuse *1 part sweet vermouth *Dash orange bitters,cocktail,Stir in mixing glass with ice and strain,,straight,cherry,Bijou (cocktail)
Golden Elk,shot,,*2 parts Jägermeister * 1 part Goldschläger,,,,,,Golden Elk
Jack and Coke,collins,,*1 part Jack Daniel's Tennessee Whiskey *3 parts Coca-Cola *Ice,cocktail,Pour Jack Daniel's into Collins glass filled with ice. Fill to desired level with Coca-Cola. Stir lightly.,,on the rocks,,Jack and Coke
Brandy Daisy,collins,,*1½ ounces brandy or Cognac *¾ ounce yellow Chartreuse *¾ ounce lemon juice,cocktail,"Stir well with cracked ice in a cocktail shaker, then strain into a chilled Collins glass and top with a splash of chilled club soda or seltzer.",,on the rocks,,Brandy Daisy
Fizz,,,,family,,,,,Fizz (cocktail)
Planter's Punch,highball,,*6cl (6 parts) dark rum *3cl (3 parts) fresh lemon juice *1cl (one part) grenadine syrup *Soda water as necessary,cocktail,Mix in shaker with ice. Pour into glass and top up with soda water. Garnish and serve.,,on the rocks,lemon and orange slices,Classic cocktail
Caipirinha,old,"A wide variety of fresh fruits can be used in place of lime. In the absence of cachaça, vodka can be used, making a caipiroska.","* 50 ml (1⅔ fl oz) cachaça * ½ Lime cut into 4 wedges (or tahiti lime, but '''not''' green lemon) * 2 teaspoons crystal or refined sugar",cocktail,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with crushed ice and add the Cachaça.,,on the rocks,lime,Cocktails with cachaça
B and B,snifter,,* 1 part cognac * 1 part Bénédictine,cocktail,Combine and stir.,,with or without ice,,List of duo and trio cocktails
Screwdriver,highball,,*50 ml (1 part) vodka *100 ml (2 parts) orange juice,cocktail,Mix in a highball glass with ice. Garnish and serve.,,on the rocks,orange slice,Hi-Fi (cocktail)
Bacardi cocktail,cocktail,,*45ml (9 parts) Bacardi white rum *20ml (4 parts) lemon or lime juice *5ml (1 part) grenadine syrup,cocktail,Shake together in a mixer with ice. Strain into glass and serve,,straight up,lime,Bacardi cocktail
Paradise,cocktail,,*35ml (7 parts) gin *20ml (4 parts) apricot brandy *15ml (3 parts) orange juice,cocktail,Shake together over ice. Strain into cocktail glass and serve chilled.,,straight,,Paradise (cocktail)
Rose,cocktail,,*45ml (9 parts) dry vermouth *15ml (3 parts) Kirsch *10ml (2 parts) cherry brandy,wine,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",,straight,Maraschino cherry,Rose (cocktail)
Golden Dream,cocktail,Should be quite fluffy,*20ml (2 parts) Galliano * 20ml (2 parts) Cointreau * 20ml (2 parts) Fresh orange juice * 10ml (1 part) Fresh cream,cocktail,Shake together in a mixer with cracked ice. Strain into glass and serve.,,shaken,wedge of orange and a cocktail umbrella,Golden dream (cocktail)
Japanese Slipper,cocktail,,*30 ml (1 part) Midori *30 ml (1 part) cointreau *30 ml (1 part) lemon juice,cocktail,"Shake together in a mixer with ice. Strain into glass, garnish and serve.",,straight,Honeydew melon slice,Japanese slipper
Kamikaze,cocktail,,*30ml (1 part) vodka *30ml (1 part) triple sec *30ml (1 part) lime juice,cocktail,"Shake all ingredients together in a mixer with ice. Strain into glass, garnish and serve.",,straight,Lime slice,Kamikaze (cocktail)
Orgasm,old,,*30ml Cointreau *30ml Baileys Irish Cream *20ml Grand Marnier,cocktail,Build all ingredients over ice in an old fashioned glass or shot glass. Garnish with cherry.,,on the rocks,cherry,Orgasm (cocktail)
Porto Flip,cocktail,,*15ml (3 parts) brandy *40ml (8 parts) port *10ml (2 parts) egg yolk,cocktail,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve",,straight,Grated nutmeg,Porto flip
Pegu Club,cocktail,,*1 1/2 ounces gin *3/4 ounce orange cointreau *1 teaspoon lime juice *Dash bitters *Dash orange bitters,cocktail,"Shake ingredients together in a mixer with crushed ice. Strain into chilled glass, garnish and serve.",,shaken,lime twist,Pegu Club (cocktail)
Champagne cocktail,flute,,*1 sugar cube *2-3 dashes Angostura bitters *30ml Brandy *Champagne,cocktail,"Place the sugar cube at the bottom of the flute and add Angostura bitters until it dissolves. Add the brandy, then fill with the champagne. Garnish with the orange slice and maraschino cherry.",,straight,Orange slice and maraschino cherry,Champagne cocktail
Staten Island Ferry,highball,,*One part Malibu Rum *One part pineapple juice,cocktail,Stir together and serve over ice.,,on the rocks,,Staten Island Ferry (cocktail)
